Instance,API_Endpoint,Error_Reason
inherently.digital,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://inherently.digital/api/v1/instance/domain_blocks
inherently.digital,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://inherently.digital/api/v1/instance/terms_of_service
itabashi.0j0.jp,/api/v1/instance/rules,404 Client Error: Not Found for url: https://itabashi.0j0.jp/api/v1/instance/rules
itabashi.0j0.jp,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://itabashi.0j0.jp/api/v1/instance/domain_blocks
itabashi.0j0.jp,/api/v1/instance/extended_description,404 Client Error: Not Found for url: https://itabashi.0j0.jp/api/v1/instance/extended_description
itabashi.0j0.jp,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://itabashi.0j0.jp/api/v1/instance/privacy_policy
itabashi.0j0.jp,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://itabashi.0j0.jp/api/v1/instance/terms_of_service
itabashi.0j0.jp,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://itabashi.0j0.jp/api/v1/instance/translation_languages
jawns.club,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://jawns.club/api/v1/instance/domain_blocks
jawns.club,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://jawns.club/api/v1/instance/terms_of_service
jorts.horse,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://jorts.horse/api/v1/instance/terms_of_service
kancolle.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://kancolle.social/api/v1/instance/domain_blocks
kancolle.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kancolle.social/api/v1/instance/terms_of_service
kcmo.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://kcmo.social/api/v1/instance/domain_blocks
kcmo.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kcmo.social/api/v1/instance/terms_of_service
kemonodon.club,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kemonodon.club/api/v1/instance/terms_of_service
kemonodon.club,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://kemonodon.club/api/v1/instance/translation_languages
kind.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://kind.social/api/v1/instance/domain_blocks
kind.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kind.social/api/v1/instance/terms_of_service
kirakiratter.com,/api/v1/instance/peers,404 Client Error: Not Found for url: https://kirakiratter.com/api/v1/instance/peers
kirakiratter.com,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://kirakiratter.com/api/v1/instance/domain_blocks
kirakiratter.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kirakiratter.com/api/v1/instance/terms_of_service
kirakiratter.com,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://kirakiratter.com/api/v1/instance/translation_languages
kirche.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kirche.social/api/v1/instance/terms_of_service
kiritan.work,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://kiritan.work/api/v1/instance/domain_blocks
kiritan.work,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kiritan.work/api/v1/instance/terms_of_service
kompost.cz,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kompost.cz/api/v1/instance/terms_of_service
kosmos.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://kosmos.social/api/v1/instance/domain_blocks
kosmos.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://kosmos.social/api/v1/instance/terms_of_service
layer8.space,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://layer8.space/api/v1/instance/domain_blocks
layer8.space,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://layer8.space/api/v1/instance/terms_of_service
liberdon.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://liberdon.com/api/v1/instance/terms_of_service
linernotes.club,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://linernotes.club/api/v1/instance/domain_blocks
linernotes.club,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://linernotes.club/api/v1/instance/terms_of_service
linernotes.club,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://linernotes.club/api/v1/instance/translation_languages
linuxrocks.online,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://linuxrocks.online/api/v1/instance/terms_of_service
lou.lt,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://lou.lt/api/v1/instance/terms_of_service
m.aqr.af,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://m.aqr.af/api/v1/instance/domain_blocks
m.aqr.af,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://m.aqr.af/api/v1/instance/terms_of_service
m.g3l.org,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://m.g3l.org/api/v1/instance/domain_blocks
m.g3l.org,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://m.g3l.org/api/v1/instance/terms_of_service
m.nintendojo.fr,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://m.nintendojo.fr/api/v1/instance/domain_blocks
m.nintendojo.fr,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://m.nintendojo.fr/api/v1/instance/terms_of_service
m6n.onsen.tech,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://m6n.onsen.tech/api/v1/instance/domain_blocks
m6n.onsen.tech,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://m6n.onsen.tech/api/v1/instance/terms_of_service
ma.fono.jp,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ma.fono.jp/api/v1/instance/terms_of_service
magnificentbeardsfan.club,/api/v1/instance/activity,404 Client Error: Not Found for url: https://magnificentbeardsfan.club/api/v1/instance/activity
